Ano,Mês,Inflação-IGP-DI-(% a.m.)
1969,08,1.69
1969,09,2.21
1969,10,1.63
1969,11,1.47
1969,12,0.29
1970,01,1.25
1970,02,1.42
1970,03,1.92
1970,04,0.32
1970,05,1.6
1970,06,2.21
1970,07,1.72
1970,08,2.3
1970,09,1.99
1970,10,1.49
1970,11,0.78
1970,12,0.77
1971,01,1.61
1971,02,1.55
1971,03,1.99
1971,04,1.73
1971,05,1.84
1971,06,2.28
1971,07,1.49
1971,08,0.93
1971,09,1.44
1971,10,1.22
1971,11,1.02
1971,12,0.84
1972,01,1.66
1972,02,1.97
1972,03,1.62
1972,04,1.08
1972,05,0.86
1972,06,1.07
1972,07,1.38
1972,08,1.43
1972,09,1.12
1972,10,0.94
1972,11,0.87
1972,12,0.71
1973,01,1.65
1973,02,1.16
1973,03,1.44
1973,04,1.45
1973,05,1.06
1973,06,0.93
1973,07,1.03
1973,08,1.01
1973,09,1.03
1973,10,1.47
1973,11,1.24
1973,12,1.06
1974,01,2.93
1974,02,2.66
1974,03,4.51
1974,04,5.14
1974,05,3.51
1974,06,1.98
1974,07,1.19
1974,08,1.29
1974,09,1.66
1974,10,1.5
1974,11,1.57
1974,12,2.2
1975,01,2.23
1975,02,2.27
1975,03,1.57
1975,04,1.79
1975,05,2.13
1975,06,2.22
1975,07,2.11
1975,08,2.79
1975,09,2.31
1975,10,2.25
1975,11,2.15
1975,12,2.18
1976,01,3.09
1976,02,4.15
1976,03,3.69
1976,04,3.76
1976,05,3.41
1976,06,2.67
1976,07,3.81
1976,08,4.1
1976,09,3.43
1976,10,2.36
1976,11,1.9
1976,12,2.3
1977,01,3.74
1977,02,3.17
1977,03,4.15
1977,04,4.08
1977,05,3.58
1977,06,1.96
1977,07,2.07
1977,08,1.3
1977,09,1.77
1977,10,2.74
1977,11,2.61
1977,12,2.11
1978,01,2.66
1978,02,3.4
1978,03,3.29
1978,04,3.36
1978,05,3.21
1978,06,3.63
1978,07,2.82
1978,08,2.67
1978,09,2.55
1978,10,2.87
1978,11,2.75
1978,12,1.52
1979,01,3.68
1979,02,3.75
1979,03,5.77
1979,04,3.77
1979,05,2.34
1979,06,3.45
1979,07,4.36
1979,08,5.83
1979,09,7.69
1979,10,5.25
1979,11,5.57
1979,12,7.3
1980,01,6.24
1980,02,4.2
1980,03,6.57
1980,04,5.72
1980,05,6.39
1980,06,5.86
1980,07,8.45
1980,08,6.92
1980,09,5.28
1980,10,7.65
1980,11,7.55
1980,12,5.89
1981,01,6.56
1981,02,8.48
1981,03,7.37
1981,04,5.47
1981,05,6.19
1981,06,4.47
1981,07,5.08
1981,08,6.73
1981,09,5.07
1981,10,4.35
1981,11,5.31
1981,12,3.8
1982,01,6.29
1982,02,6.85
1982,03,7.23
1982,04,5.36
1982,05,6.12
1982,06,7.99
1982,07,6.06
1982,08,5.8
1982,09,3.66
1982,10,4.78
1982,11,5.0
1982,12,6.14
1983,01,9.05
1983,02,6.52
1983,03,10.09
1983,04,9.2
1983,05,6.4
1983,06,12.61
1983,07,13.31
1983,08,10.11
1983,09,12.79
1983,10,13.26
1983,11,8.43
1983,12,7.56
1984,01,9.81
1984,02,12.26
1984,03,9.95
1984,04,8.94
1984,05,8.86
1984,06,9.25
1984,07,10.32
1984,08,10.62
1984,09,10.51
1984,10,12.58
1984,11,9.88
1984,12,10.53
1985,01,12.64
1985,02,10.16
1985,03,12.71
1985,04,7.22
1985,05,7.78
1985,06,7.84
1985,07,8.92
1985,08,14.0
1985,09,9.13
1985,10,9.05
1985,11,14.95
1985,12,13.2
1986,01,17.79
1986,02,14.98
1986,03,5.52
1986,04,-0.58
1986,05,0.32
1986,06,0.53
1986,07,0.63
1986,08,1.33
1986,09,1.09
1986,10,1.39
1986,11,2.46
1986,12,7.56
1987,01,12.04
1987,02,14.11
1987,03,15.0
1987,04,20.08
1987,05,27.58
1987,06,25.88
1987,07,9.33
1987,08,4.5
1987,09,8.02
1987,10,11.15
1987,11,14.47
1987,12,15.89
1988,01,19.14
1988,02,17.65
1988,03,18.16
1988,04,20.33
1988,05,19.51
1988,06,20.83
1988,07,21.54
1988,08,22.89
1988,09,25.76
1988,10,27.58
1988,11,27.97
1988,12,28.89
1989,01,36.56
1989,02,11.8
1989,03,4.23
1989,04,5.17
1989,05,12.76
1989,06,26.76
1989,07,37.88
1989,08,36.48
1989,09,38.92
1989,10,39.7
1989,11,44.27
1989,12,49.39
1990,01,71.9
1990,02,71.68
1990,03,81.32
1990,04,11.33
1990,05,9.08
1990,06,9.02
1990,07,12.98
1990,08,12.93
1990,09,11.71
1990,10,14.16
1990,11,17.45
1990,12,16.46
1991,01,19.93
1991,02,21.11
1991,03,7.25
1991,04,8.74
1991,05,6.53
1991,06,9.86
1991,07,12.83
1991,08,15.49
1991,09,16.19
1991,10,25.85
1991,11,25.76
1991,12,22.14
1992,01,26.84
1992,02,24.79
1992,03,20.7
1992,04,18.54
1992,05,22.45
1992,06,21.42
1992,07,21.69
1992,08,25.54
1992,09,27.37
1992,10,24.94
1992,11,24.22
1992,12,23.7
1993,01,28.73
1993,02,26.51
1993,03,27.81
1993,04,28.21
1993,05,32.27
1993,06,30.72
1993,07,31.96
1993,08,33.53
1993,09,36.99
1993,10,35.14
1993,11,36.96
1993,12,36.22
1994,01,42.19
1994,02,42.41
1994,03,44.83
1994,04,42.46
1994,05,40.95
1994,06,46.58
1994,07,24.71
1994,08,3.34
1994,09,1.55
1994,10,2.55
1994,11,2.47
1994,12,0.57
1995,01,1.36
1995,02,1.15
1995,03,1.81
1995,04,2.3
1995,05,0.4
1995,06,2.62
1995,07,2.24
1995,08,1.29
1995,09,-1.08
1995,10,0.23
1995,11,1.33
1995,12,0.27
1996,01,1.79
1996,02,0.76
1996,03,0.22
1996,04,0.7
1996,05,1.68
1996,06,1.22
1996,07,1.09
1996,08,0.0
1996,09,0.13
1996,10,0.22
1996,11,0.28
1996,12,0.88
1997,01,1.58
1997,02,0.42
1997,03,1.16
1997,04,0.59
1997,05,0.3
1997,06,0.7
1997,07,0.09
1997,08,-0.04
1997,09,0.59
1997,10,0.34
1997,11,0.83
1997,12,0.69
1998,01,0.88
1998,02,0.23
1998,03,0.23
1998,04,-0.13
1998,05,0.23
1998,06,0.28
1998,07,-0.38
1998,08,-0.17
1998,09,-0.02
1998,10,-0.03
1998,11,-0.18
1998,12,0.98
1999,01,1.15
1999,02,4.44
1999,03,1.98
1999,04,0.03
1999,05,-0.34
1999,06,1.02
1999,07,1.59
1999,08,1.45
1999,09,1.47
1999,10,1.89
1999,11,2.53
1999,12,1.23
2000,01,1.02
2000,02,0.19
2000,03,0.18
2000,04,0.13
2000,05,0.67
